% The first three columns are year, month and day. The remaining 12 columns are average windspeeds in knots at 12 locations in Ireland on that day.
% Start by using the 'loadtxt' function from numpy to read the data into an array.
0,1,1,20.04,11.92,20.25,9.13,9.29,8.04,10.75,5.88,9.00,9.00,14.88,25.70
77,1,2,9.75,1.54,12.54,1.83,3.79,2.75,nan,1.21,2.33,4.58,nan,12.38
77,1,3,13.21,16.66,9.25,1.71,9.46,8.17,7.87,8.96,7.75,7.21,22.25,21.59
77,1,4,20.12,15.92,18.91,6.75,10.25,11.83,15.41,14.09,12.83,14.71,20.50,27.16
77,1,5,12.50,9.50,12.04,4.67,9.25,6.87,11.50,nan,8.33,9.75,13.33,18.08
77,1,6,5.09,0.96,6.87,0.37,1.79,2.00,8.04,1.54,4.12,5.58,10.08,17.88
0,1,7,5.29,3.00,6.67,1.67,4.25,3.54,8.04,1.54,6.58,6.34,8.29,16.46
77,1,8,8.54,6.46,8.25,4.42,nan,6.08,11.38,6.50,9.67,8.08,13.00,17.16
0,1,9,19.92,16.00,9.96,9.79,17.12,10.96,12.71,11.42,nan,11.08,20.12,20.96
77,1,10,18.16,13.59,16.46,nan,12.17,8.67,10.75,10.21,8.54,10.96,22.08,31.75
77,1,11,12.12,nan,13.17,4.25,5.13,3.17,7.62,4.75,3.54,3.58,12.75,15.09
77,1,12,7.79,1.75,7.54,1.21,5.54,1.42,4.96,2.88,1.87,1.67,7.17,11.04
77,1,13,26.92,19.12,24.96,14.09,18.46,13.59,17.04,12.62,12.58,14.17,13.79,22.95
0,1,14,25.84,15.79,24.54,15.00,16.66,13.50,22.08,9.67,14.58,21.04,18.38,34.29
77,1,15,17.75,11.79,14.42,10.41,11.04,9.79,11.75,6.34,8.63,9.92,12.04,17.96
77,1,16,8.04,5.50,6.46,1.29,3.63,1.67,7.17,1.75,2.79,4.00,3.54,nan
77,1,17,19.46,18.05,15.12,6.00,12.87,10.96,9.21,nan,8.21,8.58,12.12,16.08
77,1,18,11.42,8.21,15.37,7.08,9.92,11.58,14.83,9.00,10.83,14.09,11.25,nan
77,1,19,14.58,17.62,10.25,5.58,10.63,9.83,7.17,10.54,8.67,10.50,16.17,17.79
77,1,20,22.37,15.09,22.50,13.88,15.83,16.62,17.12,14.37,16.54,18.50,15.46,26.12
77,1,21,15.29,10.88,15.34,9.42,12.54,13.04,14.79,10.71,14.67,18.75,11.83,27.04
77,1,22,3.92,6.83,5.96,0.58,4.00,4.88,4.63,5.50,4.79,7.38,10.13,17.88
0,1,23,4.67,8.75,4.08,0.92,4.58,5.54,2.04,4.29,3.50,4.42,10.75,12.71
77,1,24,15.50,14.75,14.46,7.71,12.58,11.87,10.34,11.00,11.63,13.04,15.34,19.00
77,1,25,16.71,10.96,13.59,6.96,11.00,9.29,10.88,6.67,10.96,12.33,6.83,15.79
0,1,26,8.50,11.83,7.71,2.50,6.38,5.66,4.96,2.96,4.75,4.75,6.13,7.50
77,1,27,8.75,6.50,11.83,7.41,11.25,11.38,12.17,12.71,12.17,10.71,13.92,22.95
77,1,28,9.29,11.17,15.96,6.00,nan,8.29,8.58,8.08,8.87,9.17,8.63,14.09
0,1,29,6.21,6.08,nan,2.83,2.92,3.25,2.54,2.29,2.00,3.37,6.04,11.58
77,1,30,17.62,12.04,13.04,5.25,10.08,11.04,12.79,6.75,12.00,9.00,7.50,15.71
